1100	1250	566	0	0	0	701
1190	1250	566	0	0	0	702
1200	1250	566	0	0	0	703
1290	1250	566	0	0	0	704
2100	1250	566	0	0	0	705
2190	1250	566	0	0	0	706
2200	1250	566	0	0	0	707
2290	1250	566	0	0	0	708
3100	1250	566	0	0	0	709
3190	1250	566	0	0	0	710
3200	1250	566	0	0	0	711
3290	1250	566	0	0	0	712
1110	1250	566	0	0	0	3
1120	2160	534	0	0	0	18
1130	2270	572	0	0	0	32
1140	3280	571	0	0	0	50
1210	1150	554	0	0	0	54
1220	2260	537	0	0	0	73
1230	2170	578	0	0	0	82
1240	3180	575	0	0	0	100
2110	2250	565	0	0	0	112
2120	3160	537	0	0	0	127
2130	3270	578	0	0	0	141
2140	1280	572	0	0	0	146
2210	2150	555	0	0	0	163
2220	3260	537	0	0	0	182
2230	3170	576	0	0	0	191
2240	1180	571	0	0	0	196
3110	3250	565	0	0	0	221
3120	1160	548	0	0	0	223
3130	1270	578	0	0	0	237
3140	2280	572	0	0	0	255
3210	3150	555	0	0	0	272
3220	1260	548	0	0	0	278
3230	1170	571	0	0	0	287
3240	2180	577	0	0	0	305
1250	1110	556	0	0	0	315
2160	1120	544	0	0	0	330
2270	1130	582	0	0	0	344
3280	1140	581	0	0	0	362
1150	1210	564	0	0	0	366
2260	1220	547	0	0	0	385
2170	1230	588	0	0	0	394
3180	1240	585	0	0	0	412
2250	2110	555	0	0	0	424
3160	2120	547	0	0	0	439
3270	2130	588	0	0	0	453
1280	2140	582	0	0	0	458
2150	2210	565	0	0	0	475
3260	2220	547	0	0	0	494
3170	2230	586	0	0	0	503
1180	2240	581	0	0	0	508
3250	3110	555	0	0	0	533
1160	3120	538	0	0	0	535
1270	3130	588	0	0	0	549
2280	3140	582	0	0	0	567
3150	3210	565	0	0	0	584
1260	3220	538	0	0	0	590
1170	3230	581	0	0	0	599
2180	3240	587	0	0	0	617
